08:23:44:675 [ALWAYS]	GUDE Logging Started
08:23:44:682 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
08:23:44:682 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
08:23:44:682 [ERROR]	Initialize resume cache pointer failure
08:23:44:683 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
08:23:44:683 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
08:23:46:378 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
08:23:46:378 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
08:23:46:378 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
08:23:46:378 [ERROR]	Initialize resume cache pointer failure
08:23:46:378 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
08:23:46:378 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
